Strength Winning Deck,Strong Cards Power Winning Deck,Strongest Cards Power Winning Deck,Amount of Strong Cards Winning Deck,Amount of Strongest Cards Winning Deck,Count of plays
209,157,113,14,9,285
214,159,104,14,8,61
216,158,104,14,8,364
222,168,125,15,10,391
214,166,114,15,9,146
225,179,117,16,9,237
191,132,83,12,7,231
226,190,127,17,10,78
199,134,97,12,8,478
228,179,114,16,9,214
228,178,137,16,11,510
191,143,99,13,8,129
202,145,88,13,7,555
203,165,84,16,7,359
218,167,102,15,8,140
211,150,89,14,7,243
218,155,102,14,8,187
210,171,110,16,9,303
199,151,113,13,9,106
208,160,113,14,9,373
200,150,97,14,8,337
211,165,111,15,9,303
227,183,130,16,10,102
198,135,99,12,8,243
208,163,112,15,9,190
226,185,140,16,11,248
209,156,101,14,8,273
200,133,61,13,5,196
192,129,76,12,6,399
228,183,129,16,10,65
210,158,113,14,9,163
212,164,74,16,6,292
229,188,124,17,10,300
222,175,113,16,9,277
207,170,136,15,11,117
219,172,112,16,9,154
189,132,77,12,6,182
217,150,104,13,8,178
195,134,88,12,7,550
205,144,89,13,7,306
202,145,101,13,8,422
217,162,99,15,8,463
220,170,103,15,8,202
212,140,113,12,9,164
235,184,128,16,10,87
198,135,91,12,7,283
192,128,66,12,5,133
212,158,97,15,8,189
219,161,116,14,9,111
220,188,125,17,10,235
205,154,92,14,7,180
219,168,102,15,8,133
218,176,112,16,9,184
200,147,76,14,6,478
209,156,110,14,9,1295
197,149,86,14,7,176
210,156,113,14,9,97
209,161,91,15,7,190
222,168,104,15,8,114
239,202,139,18,11,118
195,118,75,11,6,183
190,123,77,11,6,79
222,180,137,16,11,77
234,183,138,16,11,168
201,137,113,12,9,175
210,154,102,14,8,111
197,136,89,12,7,148
228,191,127,17,10,182
220,168,125,15,10,124
207,159,86,15,7,270
194,138,102,12,8,135
205,155,102,14,8,61
209,164,111,15,9,149
234,190,126,17,10,268
217,185,122,17,10,534
206,160,97,15,8,268
222,167,140,14,11,137
215,158,101,14,8,143
225,182,137,16,11,509
206,153,136,13,11,189
234,195,112,18,9,358
204,142,79,13,6,282
224,165,128,14,10,59
232,189,135,17,11,436
212,149,103,13,8,210
213,176,115,16,9,149
191,134,62,13,5,388
210,145,126,12,10,220
228,184,113,17,9,192
220,176,121,16,10,507
212,157,112,14,9,573
190,126,100,11,8,271
186,120,74,11,6,239
206,158,77,15,6,257
203,161,97,15,8,237
211,159,124,14,10,87
231,186,113,17,9,154
222,177,124,16,10,862
242,195,141,17,11,126
221,185,113,17,9,430
187,117,63,11,5,124
219,193,103,18,8,463
197,136,92,12,7,769
214,176,114,16,9,140
201,155,103,14,8,173
206,143,105,12,8,73
208,148,111,13,9,200
195,132,87,12,7,112
218,167,126,15,10,123
201,135,88,12,7,208
209,147,137,12,11,179
194,132,77,12,6,161
193,128,85,12,7,154
209,154,110,14,9,376
216,173,99,16,8,265
203,136,91,12,7,261
216,174,98,16,8,186
201,138,102,12,8,407
204,155,112,14,9,59
202,147,86,14,7,208
220,175,123,16,10,437
207,148,77,14,6,217
204,150,112,13,9,892
203,146,91,13,7,123
226,168,123,15,10,494
193,129,74,12,6,290
213,161,80,15,6,141
211,151,86,14,7,277
209,150,114,13,9,295
194,129,74,12,6,341
206,157,121,14,10,781
199,150,113,13,9,85
205,138,100,12,8,347
195,135,65,13,5,126
219,160,114,14,9,173
220,179,116,16,9,137
224,161,116,14,9,67
210,170,126,15,10,50
203,141,97,13,8,407
217,159,114,14,9,216
221,168,115,15,9,115
233,185,114,17,9,399
205,149,112,13,9,270
242,202,138,18,11,126
191,142,88,13,7,69
202,152,97,14,8,752
227,183,101,17,8,95
213,158,125,14,10,173
212,157,101,14,8,106
229,193,139,17,11,80
217,158,111,14,9,308
215,165,101,15,8,1025
218,161,113,14,9,184
221,176,114,16,9,85
203,149,87,14,7,112
195,143,97,13,8,218
214,166,112,15,9,445
207,155,101,14,8,351
188,136,83,13,7,236
224,171,136,15,11,185
202,147,84,14,7,675
207,157,75,15,6,420
207,164,110,15,9,190
218,162,116,14,9,277
198,145,91,13,7,287
203,135,90,12,7,141
245,206,140,18,11,63
199,156,113,14,9,191
205,132,79,12,6,92
238,202,127,18,10,70
210,154,93,14,7,393
201,145,91,13,7,136
220,169,114,15,9,150
241,205,152,18,12,35
226,174,129,15,10,280
190,130,86,12,7,852
228,179,114,16,9,269
203,144,99,13,8,549
211,159,116,14,9,112
193,119,75,11,6,387
200,140,85,13,7,239
180,127,101,11,8,118
209,154,101,14,8,260
206,155,101,14,8,110
197,146,109,13,9,196
224,193,138,17,11,72
223,183,101,17,8,148
226,181,127,16,10,146
202,148,77,14,6,116
188,113,78,10,6,72
243,211,150,19,12,66
223,183,111,17,9,150
197,154,101,14,8,444
206,154,112,14,9,281
187,133,90,12,7,667
207,148,113,13,9,69
207,148,111,13,9,153
211,159,114,14,9,429
199,135,79,12,6,202
195,124,88,11,7,135
211,157,103,14,8,105
227,176,138,15,11,157
192,124,88,11,7,406
185,134,89,12,7,284
231,189,137,17,11,117
207,146,102,13,8,136
195,146,84,14,7,407
215,148,104,13,8,120
218,166,139,14,11,127
220,173,99,16,8,354
209,157,113,14,9,237
212,157,115,14,9,578
226,191,129,17,10,72
194,137,76,13,6,705
202,151,88,14,7,257
205,157,93,14,7,95
202,162,108,15,9,392
234,187,142,16,11,47
196,122,83,11,7,649
221,158,129,13,10,66
217,166,120,15,10,489
202,152,96,14,8,165
221,171,116,15,9,660
220,173,99,16,8,257
197,149,77,14,6,345
194,136,91,12,7,193
218,173,102,16,8,292
204,157,101,14,8,292
217,175,139,15,11,152
215,165,103,15,8,222
226,181,117,16,9,78
187,136,62,13,5,438
182,108,62,10,5,341
190,121,85,11,7,188
235,188,123,17,10,406
197,143,88,13,7,224
211,161,98,15,8,189
208,162,88,15,7,185
182,108,52,10,4,712
211,176,97,17,8,176
214,156,110,14,9,497
194,139,85,13,7,180
194,122,77,11,6,268
214,167,111,15,9,283
190,135,74,13,6,176
213,168,89,16,7,860
198,139,77,13,6,337
223,167,103,15,8,633
200,139,76,13,6,271
212,164,99,15,8,190
212,157,86,15,7,476
209,150,115,13,9,113
220,168,122,15,10,121
240,200,128,18,10,182
240,196,152,17,12,37
194,126,73,12,6,239
212,175,123,16,10,199
204,138,111,12,9,472
193,132,88,12,7,248
197,140,75,13,6,240
225,182,136,16,11,644
231,187,148,16,12,259
229,184,148,16,12,203
206,151,87,14,7,348
207,154,89,14,7,186
209,163,129,14,10,68
185,116,79,10,6,185
216,162,116,14,9,98
218,164,127,14,10,299
188,110,65,10,5,149
223,167,113,15,9,872
180,121,77,11,6,193
211,157,102,14,8,100
214,158,103,14,8,140
209,146,110,13,9,519
202,157,85,15,7,377
209,156,113,14,9,318
224,171,129,15,10,90
212,157,105,14,8,153
212,156,118,13,9,239
203,139,113,12,9,459
209,158,114,14,9,208
222,176,114,16,9,449
217,176,102,16,8,829
209,161,99,15,8,386
230,179,115,16,9,236
218,167,105,15,8,110
225,175,136,15,11,493
195,148,113,13,9,112
186,112,76,10,6,214
210,143,90,13,7,120
201,149,86,14,7,461
212,151,114,13,9,192
201,160,88,15,7,389
215,160,125,14,10,179
203,138,94,12,7,207
201,136,90,12,7,185
199,136,89,12,7,459
189,122,87,11,7,898
209,155,112,14,9,308
203,151,133,13,11,351
204,154,100,14,8,121
233,181,136,16,11,85
229,191,127,17,10,80
211,145,100,13,8,258
195,128,101,11,8,233
222,180,125,16,10,104
186,135,64,13,5,381
213,153,116,13,9,98
215,156,77,15,6,492
213,159,102,14,8,329
210,150,87,14,7,269
192,127,91,11,7,201
225,174,116,15,9,73
238,200,137,18,11,283
195,125,69,11,5,103
199,146,103,13,8,363
191,136,64,13,5,470
207,152,114,13,9,102
200,128,80,11,6,554
224,172,117,15,9,71
191,127,73,12,6,393
217,170,99,16,8,221
212,164,73,16,6,234
223,171,128,15,10,199
214,157,114,14,9,250
237,189,152,16,12,328
209,158,104,14,8,248
206,142,88,13,7,184
216,161,115,14,9,205
219,164,126,14,10,246
214,177,124,16,10,221
210,148,113,13,9,106
204,134,88,12,7,452
212,154,110,14,9,474
221,175,102,16,8,144
230,183,113,17,9,393
201,133,98,12,8,362
198,131,75,12,6,215
207,158,115,14,9,719
203,152,116,13,9,352
224,174,149,15,12,87
202,146,91,13,7,70
231,176,140,15,11,181
220,172,111,16,9,401
213,162,100,15,8,234
209,159,114,14,9,160
220,167,115,15,9,197
224,181,116,16,9,159
190,122,76,11,6,420
195,142,87,13,7,270
233,196,150,17,12,174
213,178,114,16,9,362
202,155,120,14,10,593
222,174,118,15,9,108
222,181,99,17,8,181
186,107,62,10,5,272
194,131,88,12,7,399
242,213,151,19,12,411
192,131,88,12,7,368
216,163,99,15,8,1384
211,150,114,13,9,106
207,151,87,14,7,139
217,182,101,17,8,87
199,133,89,12,7,420
219,154,101,14,8,607
196,139,112,12,9,518
203,153,100,14,8,153
219,179,109,17,9,251
209,142,122,12,10,511
218,169,114,15,9,570
191,132,78,12,6,150
207,143,88,13,7,561
218,173,110,16,9,766
208,164,101,15,8,311
214,155,101,14,8,195
201,136,100,12,8,230
216,163,102,15,8,195
202,151,89,14,7,191
187,121,75,11,6,510
224,180,136,16,11,110
234,188,151,16,12,294
209,152,116,13,9,327
199,144,100,13,8,328
199,153,89,14,7,164
215,166,102,15,8,72
184,130,75,12,6,288
226,175,133,16,11,393
201,141,78,13,6,145
218,163,127,14,10,82
200,140,77,13,6,181
199,138,75,13,6,243
218,178,114,16,9,293
209,159,113,14,9,692
197,138,102,12,8,121
201,129,103,11,8,101
213,152,126,13,10,149
202,150,78,14,6,92
199,147,74,14,6,257
207,145,100,13,8,582
195,136,91,12,7,364
179,112,77,10,6,219
235,203,139,18,11,247
215,164,100,15,8,197
226,184,139,16,11,416
208,140,88,13,7,111
214,157,111,14,9,234
188,129,87,12,7,581
224,178,125,16,10,137
195,135,91,12,7,370
205,149,87,14,7,99
214,158,113,14,9,83
245,202,139,18,11,303
202,139,75,13,6,387
237,197,142,17,11,69
221,180,110,17,9,251
218,175,112,16,9,158
202,148,102,13,8,459
208,154,109,14,9,170
195,145,100,13,8,122
220,174,112,16,9,92
200,147,103,13,8,103
219,181,109,17,9,161
223,175,111,16,9,243
209,150,113,13,9,237
229,192,137,17,11,266
224,177,123,16,10,123
231,192,138,17,11,122
204,161,98,15,8,479
223,178,124,16,10,84
198,148,104,13,8,98
242,206,142,18,11,89
225,191,146,17,12,1144
199,144,101,13,8,144
196,146,100,13,8,308
206,143,88,13,7,281
194,137,86,13,7,241
228,186,114,17,9,158
222,169,124,15,10,270
231,174,125,15,10,212
213,157,112,14,9,151
192,130,74,12,6,100
207,165,112,15,9,365
201,146,76,14,6,362
219,176,103,16,8,197
219,161,128,14,10,187
231,180,125,16,10,423
245,209,153,18,12,54
212,166,100,15,8,271
220,170,114,15,9,915
221,190,109,18,9,636
196,144,89,13,7,115
215,162,126,14,10,227
209,156,101,14,8,266
220,173,127,15,10,148
214,161,105,14,8,273
210,147,112,13,9,160
204,140,113,12,9,151
211,154,101,14,8,257
208,159,89,15,7,316
223,195,125,18,10,99
203,141,113,12,9,284
209,146,101,13,8,94
197,129,101,11,8,452
218,176,113,16,9,200
201,145,118,12,9,69
222,181,100,17,8,148
203,148,103,13,8,137
215,162,102,15,8,310
199,142,97,13,8,620
211,172,110,16,9,355
199,140,86,13,7,258
200,151,86,14,7,436
201,142,89,13,7,144
215,170,88,16,7,323
238,179,141,15,11,70
215,159,122,14,10,119
205,145,93,13,7,222
218,160,113,14,9,1156
217,175,112,16,9,167
184,124,80,11,6,706
202,137,101,12,8,189
218,158,111,14,9,145
224,184,104,17,8,138
228,193,102,18,8,135
219,177,115,16,9,114
221,167,94,15,7,233
199,135,88,12,7,301
204,144,99,13,8,457
201,141,96,13,8,331
223,166,124,15,10,193
231,183,129,16,10,212
225,174,129,15,10,157
205,145,100,13,8,579
230,184,124,17,10,192
194,131,87,12,7,696
201,138,104,12,8,191
208,149,93,13,7,115
202,134,88,12,7,270
203,154,99,14,8,586
190,139,76,13,6,454
204,153,102,14,8,195
208,165,102,15,8,409
196,135,88,12,7,445
206,134,77,12,6,137
197,149,87,14,7,240
212,168,111,15,9,770
215,144,126,12,10,59
209,145,101,13,8,473
188,116,98,10,8,391
194,124,98,11,8,203
211,144,126,12,10,85
222,174,138,15,11,88
205,159,86,15,7,255
219,170,98,16,8,364
201,157,93,14,7,96
203,135,98,12,8,639
204,149,114,13,9,110
205,163,110,15,9,212
215,149,114,13,9,238
211,156,89,14,7,175
221,172,99,16,8,105
190,135,72,13,6,356
212,164,111,15,9,243
209,153,90,14,7,251
219,171,116,15,9,169
219,167,112,15,9,134
220,169,123,15,10,71
200,143,99,13,8,345
191,125,100,11,8,841
201,138,101,12,8,708
202,153,99,14,8,285
224,183,128,16,10,95
222,182,138,16,11,223
213,156,101,14,8,140
212,173,99,16,8,269
201,154,92,14,7,186
211,159,113,14,9,232
197,134,88,12,7,161
234,194,139,17,11,48
226,185,112,17,9,427
217,177,115,16,9,52
216,168,114,15,9,393
199,149,87,14,7,373
211,165,114,15,9,179
202,143,104,12,8,150
190,142,88,13,7,408
203,151,88,14,7,347
227,183,112,17,9,185
239,208,137,19,11,239
220,173,125,15,10,211
211,158,112,14,9,241
222,178,100,17,8,124
225,180,126,16,10,139
215,169,135,15,11,190
178,113,61,11,5,466
211,162,90,15,7,95
185,130,87,12,7,93
235,192,138,17,11,123
203,144,99,13,8,231
201,144,90,13,7,945
205,149,86,14,7,167
174,110,74,10,6,291
221,171,126,15,10,326
204,155,109,14,9,489
189,124,98,11,8,772
201,139,102,12,8,332
210,164,99,15,8,92
214,170,115,15,9,151
217,178,124,16,10,218
206,146,92,13,7,229
218,163,136,14,11,239
208,156,110,14,9,304
211,156,102,14,8,188
191,140,86,13,7,182
213,168,124,15,10,235
215,160,115,14,9,214
214,180,99,17,8,219
211,160,116,14,9,161
214,166,86,16,7,473
207,139,101,12,8,206
213,170,88,16,7,249
206,149,105,13,8,319
192,125,98,11,8,149
222,177,122,16,10,167
202,138,74,13,6,240
218,182,110,17,9,195
189,130,74,12,6,432
203,133,100,12,8,279
190,140,60,14,5,438
220,172,126,15,10,218
214,152,115,13,9,154
199,132,87,12,7,252
224,172,137,15,11,54
214,162,89,15,7,186
203,152,89,14,7,384
197,141,98,13,8,552
212,162,126,14,10,345
209,142,115,12,9,71
187,140,50,14,4,167
213,166,121,15,10,204
209,158,116,14,9,322
227,182,127,16,10,945
212,153,97,14,8,406
222,169,97,16,8,332
210,159,124,14,10,140
222,176,104,16,8,115
203,146,99,13,8,218
205,151,98,14,8,124
207,141,103,12,8,69
201,147,102,13,8,107
198,142,78,13,6,336
204,144,99,13,8,150
224,165,138,14,11,113
218,168,86,16,7,136
201,134,89,12,7,536
217,184,113,17,9,491
198,129,111,11,9,163
214,157,114,14,9,162
212,149,112,13,9,76
243,208,164,18,13,55
215,165,111,15,9,377
235,198,163,17,13,170
220,170,117,15,9,217
196,125,79,11,6,106
199,144,89,13,7,328
200,144,89,13,7,292
203,148,84,14,7,282
209,150,88,14,7,272
221,168,123,15,10,587
199,133,87,12,7,380
208,157,123,14,10,399
202,150,89,14,7,174
219,163,90,15,7,195
209,154,102,14,8,164
217,168,114,15,9,374
234,196,138,17,11,95
202,145,100,13,8,333
185,120,75,11,6,428
237,187,151,16,12,56
198,140,104,12,8,86
203,138,113,12,9,108
198,133,97,12,8,208
217,164,101,15,8,466
214,155,90,14,7,190
233,186,113,17,9,155
214,170,126,15,10,594
225,176,102,16,8,209
199,143,87,13,7,330
224,171,124,15,10,385
215,172,109,16,9,252
232,172,135,15,11,164
213,163,100,15,8,118
214,158,104,14,8,106
198,131,88,12,7,535
223,174,127,15,10,61
200,156,77,15,6,609
219,172,112,16,9,246
217,164,101,15,8,563
228,193,148,17,12,324
243,199,153,17,12,46
225,180,135,16,11,592
209,166,114,15,9,411
207,153,98,14,8,171
212,152,114,13,9,406
225,179,124,16,10,52
212,153,100,14,8,598
190,139,84,13,7,522
220,169,124,15,10,261
214,160,98,15,8,124
215,179,117,16,9,140
224,176,102,16,8,358
209,155,100,14,8,284
210,141,76,13,6,121
209,151,97,14,8,175
194,129,84,12,7,245
224,175,121,16,10,289
192,140,77,13,6,184
235,197,114,18,9,140
198,140,85,13,7,333
222,178,136,16,11,448
190,133,89,12,7,365
190,126,90,11,7,232
217,175,111,16,9,386
221,170,125,15,10,196
204,151,89,14,7,442
201,146,75,14,6,264
193,133,88,12,7,133
219,174,149,15,12,172
209,167,103,15,8,198
207,159,112,14,9,169
240,197,152,17,12,74
201,133,89,12,7,452
218,170,127,15,10,290
216,165,110,15,9,410
191,136,72,13,6,338
236,206,125,19,10,482
193,134,76,12,6,412
211,158,112,14,9,145
232,187,113,17,9,317
199,149,87,14,7,590
236,192,154,16,12,66
204,148,103,13,8,157
206,150,78,14,6,231
207,160,87,15,7,224
207,156,98,14,8,147
204,141,99,13,8,135
204,141,87,13,7,173
213,173,100,16,8,122
204,147,112,13,9,255
226,175,115,16,9,88
192,138,79,13,6,112
206,148,76,14,6,244
224,165,138,14,11,265
222,171,116,15,9,105
215,167,104,15,8,76
205,143,89,13,7,266
210,160,115,14,9,226
223,171,118,15,9,80
227,185,123,17,10,180
209,168,98,16,8,260
198,147,112,13,9,439
195,125,89,11,7,190
204,153,99,14,8,184
206,154,101,14,8,220
200,152,97,14,8,1034
198,141,86,13,7,291
211,154,111,14,9,221
213,168,86,16,7,161
213,161,99,15,8,1199
223,174,128,15,10,97
199,130,77,12,6,172
195,149,86,14,7,224
218,166,110,15,9,488
201,145,101,13,8,272
203,150,89,14,7,126
213,160,115,14,9,244
202,135,100,12,8,124
200,135,98,12,8,205
239,199,162,17,13,748
227,179,114,16,9,107
222,172,125,15,10,89
191,111,64,10,5,226
203,163,112,15,9,297
222,171,115,15,9,88
197,135,92,12,7,382
226,181,137,16,11,219
205,165,103,15,8,156
203,143,87,13,7,181
239,188,151,16,12,241
193,119,47,12,4,676
218,176,113,16,9,618
210,157,103,14,8,106
217,173,100,16,8,268
225,168,121,15,10,237
209,152,125,13,10,195
201,147,113,13,9,152
185,114,78,10,6,134
216,166,114,15,9,581
214,170,115,15,9,111
219,171,125,15,10,139
211,151,114,13,9,293
220,181,110,17,9,222
226,186,124,17,10,220
194,129,75,12,6,190
227,177,139,15,11,169
222,178,97,17,8,361
185,124,61,12,5,640
204,139,76,13,6,134
212,149,112,13,9,662
195,135,61,13,5,266
195,140,87,13,7,520
189,119,64,11,5,307
207,146,103,13,8,377
173,105,60,10,5,277
210,152,115,13,9,392
201,148,102,13,8,314
190,125,63,12,5,468
198,148,77,14,6,112
203,135,101,12,8,380
213,168,114,15,9,242
195,133,59,13,5,238
210,153,101,14,8,280
208,157,122,14,10,97
193,130,85,12,7,410
228,191,128,17,10,113
230,182,127,16,10,51
224,171,127,15,10,62
211,161,88,15,7,269
215,166,112,15,9,135
201,148,87,14,7,170
228,178,124,16,10,156
189,129,75,12,6,419
245,204,148,18,12,59
188,123,78,11,6,129
202,139,112,12,9,204
221,171,124,15,10,165
199,144,64,14,5,202
215,163,90,15,7,204
204,150,104,13,8,229
205,145,100,13,8,636
196,140,76,13,6,218
209,150,114,13,9,408
217,176,104,16,8,189
246,203,131,18,10,69
201,151,88,14,7,282
220,177,87,17,7,251
204,138,103,12,8,107
213,154,138,13,11,277
221,174,100,16,8,193
199,142,86,13,7,242
189,123,76,11,6,310
216,168,89,16,7,142
194,141,75,13,6,160
210,158,114,14,9,127
206,149,114,13,9,202
220,176,113,16,9,392
201,139,88,13,7,181
214,168,113,15,9,364
195,134,63,13,5,190
207,161,100,15,8,596
201,135,97,12,8,216
222,169,125,15,10,303
224,171,126,15,10,335
195,141,98,13,8,162
202,148,93,13,7,162
208,151,107,14,9,531
214,166,111,15,9,481
219,160,105,14,8,77
222,186,126,17,10,457
219,184,111,17,9,158
214,155,91,14,7,94
223,178,123,16,10,220
212,154,80,14,6,151
211,174,96,17,8,858
197,119,74,11,6,531
191,129,76,12,6,328
194,130,76,12,6,323
208,150,87,14,7,347
199,148,78,14,6,414
220,169,123,15,10,78
216,163,137,14,11,143
207,139,102,12,8,263
220,171,101,16,8,100
228,162,127,14,10,84
216,163,98,15,8,471
203,153,99,14,8,670
206,150,101,13,8,108
198,147,85,14,7,214
217,148,104,13,8,231
193,143,101,13,8,282
223,180,124,16,10,340
201,136,54,13,4,438
232,180,117,16,9,432
204,147,103,13,8,205
219,158,111,14,9,504
217,176,122,16,10,137
190,130,87,12,7,432
206,137,100,12,8,319
212,163,125,14,10,171
214,158,102,14,8,390
211,149,86,14,7,180
218,168,114,15,9,211
230,197,125,18,10,761
198,139,85,13,7,511
214,160,88,15,7,513
208,157,104,14,8,166
214,161,109,15,9,267
214,165,127,14,10,260
207,145,101,13,8,105
222,171,90,16,7,1021
205,150,104,13,8,224
209,157,113,14,9,347
208,161,106,14,8,96
221,166,114,15,9,468
209,151,89,14,7,241
218,164,109,15,9,592
205,137,91,12,7,188
224,166,102,15,8,123
209,159,105,14,8,1037
202,150,77,14,6,227
228,183,114,17,9,92
195,134,77,12,6,277
224,181,129,16,10,68
204,140,98,13,8,368
200,145,89,13,7,308
198,148,85,14,7,196
200,135,100,12,8,259
222,182,139,16,11,139
205,151,77,14,6,446
229,194,114,18,9,499
209,155,112,14,9,326
219,159,105,14,8,220
214,157,103,14,8,91
220,172,101,16,8,181
211,173,111,16,9,249
215,165,139,14,11,62
207,159,88,15,7,804
197,145,103,13,8,135
211,159,88,15,7,186
209,154,99,14,8,369
194,141,88,13,7,521
191,142,63,14,5,417
210,159,113,14,9,606
220,177,122,16,10,214
195,134,77,12,6,480
216,161,117,14,9,455
207,156,91,14,7,332
222,175,138,15,11,233
210,168,98,16,8,273
213,156,112,14,9,96
219,172,137,15,11,615
221,175,139,15,11,115
217,164,136,14,11,334
180,109,63,10,5,159
184,116,61,11,5,507
225,188,115,17,9,169
194,142,89,13,7,105
205,151,87,14,7,322
210,162,98,15,8,237
200,134,88,12,7,270
208,146,90,13,7,419
205,140,113,12,9,170
224,172,134,15,11,180
217,173,100,16,8,433
218,171,125,15,10,110
194,143,89,13,7,314
209,160,98,15,8,327
190,131,67,12,5,612
216,166,101,15,8,213
212,169,115,15,9,114
223,176,115,16,9,91
202,143,99,13,8,115
201,149,86,14,7,237
213,161,115,14,9,112
234,192,131,17,10,67
220,182,102,17,8,637
210,155,102,14,8,237
217,172,100,16,8,130
198,150,86,14,7,444
217,155,111,14,9,901
225,183,127,16,10,92
199,138,75,13,6,307
196,128,65,12,5,341
218,171,100,16,8,170
188,134,64,13,5,253
224,184,111,17,9,72
194,121,83,11,7,455
192,127,63,12,5,242
214,164,103,15,8,323
200,132,79,12,6,123
206,149,74,14,6,249
222,177,134,16,11,159
220,170,125,15,10,294
196,138,86,13,7,489
200,141,78,13,6,133
230,186,142,16,11,65
188,128,64,12,5,153
219,159,102,14,8,391
196,130,103,11,8,97
195,132,87,12,7,250
214,165,100,15,8,145
210,158,124,14,10,98
207,148,102,13,8,353
228,174,127,15,10,277
217,167,104,15,8,103
189,124,87,11,7,245
206,161,90,15,7,196
204,137,110,12,9,85
203,146,101,13,8,210
213,165,112,15,9,216
224,184,112,17,9,565
203,156,65,15,5,521
207,151,115,13,9,141
219,163,102,15,8,175
196,139,114,12,9,426
228,189,137,17,11,102
218,175,101,16,8,66
213,169,97,16,8,144
203,148,76,14,6,258
232,192,147,17,12,592
216,170,123,15,10,232
217,168,116,15,9,53
205,159,124,14,10,164
214,164,129,14,10,63
204,154,102,14,8,926
202,158,75,15,6,375
231,191,126,17,10,153
215,167,112,15,9,95
176,118,74,11,6,904
203,144,98,13,8,164
210,147,100,13,8,228
233,180,116,16,9,294
233,200,128,18,10,149
221,181,125,16,10,91
223,183,138,16,11,262
207,165,113,15,9,93
226,170,115,15,9,481
204,152,87,14,7,221
212,155,101,14,8,221
213,166,109,15,9,206
186,118,64,11,5,485
210,152,88,14,7,247
206,156,110,14,9,391
195,138,76,13,6,457
215,165,126,14,10,619
210,164,104,15,8,83
195,141,76,13,6,253
206,142,78,13,6,308
238,207,153,18,12,61
202,143,98,13,8,256
207,163,127,14,10,98
207,142,104,12,8,89
235,204,114,19,9,112
213,165,111,15,9,521
208,147,103,13,8,105
209,158,102,14,8,162
206,164,113,15,9,139
229,189,138,17,11,81
202,151,90,14,7,356
221,173,101,16,8,117
225,174,138,15,11,44
204,143,135,12,11,411
223,182,126,16,10,45
210,166,113,15,9,420
197,138,64,13,5,231
221,170,126,15,10,480
225,192,100,18,8,411
204,142,88,13,7,124
220,182,112,17,9,290
234,187,142,16,11,61
182,115,64,11,5,661
200,148,112,13,9,263
202,142,78,13,6,477
193,123,51,12,4,276
182,128,73,12,6,392
207,151,98,14,8,210
214,165,102,15,8,329
222,175,113,16,9,195
214,177,125,16,10,119
226,174,138,15,11,84
214,154,98,14,8,67
200,156,73,15,6,128
201,146,72,14,6,150
224,178,115,16,9,1235
211,154,65,15,5,626
194,143,99,13,8,177
225,176,123,16,10,213
212,159,122,14,10,286
213,153,99,14,8,322
196,126,89,11,7,136
171,103,60,10,5,340
228,175,128,15,10,105
235,184,126,16,10,223
236,183,119,16,9,84
217,157,124,14,10,156
207,164,100,15,8,302
211,171,109,16,9,131
203,162,62,16,5,571
208,164,101,15,8,196
213,160,115,14,9,83
189,123,68,11,5,291
202,156,105,14,8,155
207,140,85,13,7,280
205,149,112,13,9,108
241,203,141,18,11,46
205,143,98,13,8,698
205,164,102,15,8,184
224,179,125,16,10,119
220,180,109,17,9,1018
186,122,67,11,5,93
214,152,78,14,6,271
214,158,112,14,9,459
231,181,135,16,11,435
213,171,102,16,8,123
222,175,112,16,9,463
222,171,127,15,10,99
219,164,128,14,10,177
238,192,138,17,11,306
195,142,73,14,6,245
201,139,64,13,5,249
225,179,133,16,11,723
206,142,123,12,10,586
228,170,113,15,9,307
209,148,102,13,8,279
205,143,79,13,6,723
220,175,123,16,10,107
206,147,112,13,9,122
199,138,75,13,6,364
222,175,122,16,10,312
217,156,92,14,7,147
203,155,110,14,9,126
225,188,137,17,11,482
201,143,88,13,7,133
207,147,111,13,9,203
230,189,128,17,10,66
199,135,90,12,7,506
216,164,103,15,8,120
195,138,112,12,9,112
234,187,140,16,11,549
217,172,126,15,10,458
188,124,89,11,7,256
203,139,111,12,9,825
213,163,100,15,8,416
216,164,101,15,8,285
214,168,88,16,7,222
212,160,96,15,8,690
215,151,126,13,10,206
210,166,111,15,9,212
208,160,95,15,8,260
209,162,105,14,8,246
218,161,89,15,7,159
212,175,112,16,9,421
209,160,96,15,8,582
219,156,103,14,8,96
233,181,126,16,10,250
214,154,99,14,8,119
199,131,75,12,6,401
189,123,79,11,6,130
200,143,72,14,6,265
223,170,114,15,9,188
215,160,123,14,10,351
242,202,139,18,11,239
188,116,60,11,5,546
192,139,85,13,7,330
220,165,118,14,9,96
222,171,137,15,11,187
225,189,136,17,11,290
207,142,81,13,6,276
193,134,90,12,7,333
194,128,64,12,5,486
213,152,100,14,8,72
222,162,126,14,10,145
209,149,112,13,9,271
209,140,102,12,8,323
199,131,78,12,6,242
194,135,101,12,8,228
179,113,50,11,4,359
232,198,135,18,11,165
206,144,100,13,8,163
198,134,89,12,7,143
241,201,154,17,12,67
193,128,91,11,7,612
222,161,124,14,10,247
196,133,79,12,6,69
212,166,113,15,9,396
207,145,80,13,6,149
228,190,117,17,9,53
184,115,78,10,6,185
203,144,99,13,8,295
209,156,128,13,10,346
206,163,100,15,8,106
210,158,114,14,9,196
208,160,88,15,7,110
209,148,112,13,9,133
210,163,101,15,8,170
211,169,97,16,8,527
213,165,112,15,9,434
